"lat","lon","name"
"24.8119761","-107.3986711","Puente Bimodal de Parque las Riberas, comunica la margen derecha del río Tamazula con el bulevar Paseo Niños Héroes."
"24.7970794","-107.4006815","Boulevard Emiliano Zapata"
"24.7929129","-107.4166065","Calle Puerto de la Paz"
"24.7928402","-107.4165993",""
"24.8134351","-107.4126059","Boulevard Rotarismo"
"24.8133413","-107.4125080","Rotarismo"
"24.8135503","-107.4125144","Internacional México 15"
"24.8024485","-107.4137850",""
"24.8027834","-107.4134560",""
"24.8044915","-107.4050558","Glorieta Cuauhtemoc"
"24.8107467","-107.4038056",""
"24.7956577","-107.4174419","Calle Las Santas"
"24.7975628","-107.4185595","Calle de las Aves"
"24.7964041","-107.4179891","Calle de las Fuentes"
"24.7989509","-107.4167390","Calle Las Macetas"
"24.7986541","-107.4177215","Camino Oriente"
"24.7983363","-107.4163682","Calle de las Aves"
"24.7979918","-107.4174801","Camino Oriente"
"24.7988648","-107.3995305",""
"24.7989672","-107.3995320",""
"24.7928857","-107.4145280",""
"24.7969168","-107.4015210","Boulevard Emiliano Zapata"
"24.8086387","-107.3969963","Calle General Ángel Flores"
"24.8087150","-107.3945831","Avenida Álvaro Obregón"
"24.8091966","-107.3925680",""
"24.8212975","-107.4003778","Boulevard Enrique Sánchez Alonso"
"24.7929467","-107.4128766","Avenida Pascual Orozco"
"24.7968007","-107.4015018","Boulevard Emiliano Zapata"
"24.7931856","-107.3902291",""
"24.7931234","-107.3903940","Rio Piaxtla"
"24.7929882","-107.3904407",""
"24.7928938","-107.3904036",""
"24.8093708","-107.3945997","Plazuela Alvaro Obregón"
